22,21/01/2012,Fulham,Newcastle,5,2,H,35.297,29.131,35.572
22,21/01/2012,Norwich,Chelsea,0,0,D,27.465,28.037,44.499
22,21/01/2012,QPR,Wigan,3,1,H,39.124,30.483,30.393
22,21/01/2012,Stoke,West Brom,1,2,A,62.009,24.41,13.581
22,21/01/2012,Sunderland,Swansea,2,0,H,42.895,29.246,27.859
22,21/01/2012,Wolves,Aston Villa,2,3,A,34.491,30.482,35.027
22,22/01/2012,Arsenal,Man United,1,2,A,21.357,27.912,50.731
22,22/01/2012,Man City,Tottenham,3,2,H,47.804,27.576,24.62
23,31/01/2012,Everton,Man City,1,0,H,10.694,17.878,71.428
23,31/01/2012,Man United,Stoke,2,0,H,70.672,19.72,9.609
23,31/01/2012,Swansea,Chelsea,1,1,D,39.182,28.97,31.848
23,31/01/2012,Tottenham,Wigan,3,1,H,85.299,11.69,3.011
23,31/01/2012,Wolves,Liverpool,0,3,A,29.695,29.544,40.761
23,01/02/2012,Aston Villa,QPR,2,2,D,55.714,28.388,15.898
23,01/02/2012,Blackburn,Newcastle,0,2,A,33.887,29.847,36.266
23,01/02/2012,Bolton,Arsenal,0,0,D,33.622,31.159,35.219
23,01/02/2012,Fulham,West Brom,1,1,D,42.641,29.922,27.437
23,01/02/2012,Sunderland,Norwich,3,0,H,35.423,31.488,33.089
24,04/02/2012,Arsenal,Blackburn,7,1,H,62.417,25.3,12.283
24,04/02/2012,Man City,Fulham,3,0,H,78.714,17.151,4.135
24,04/02/2012,Norwich,Bolton,2,0,H,47.061,30.495,22.444
24,04/02/2012,QPR,Wolves,1,2,A,51.383,30.918,17.698
24,04/02/2012,Stoke,Sunderland,0,1,A,39.419,30.076,30.505
24,04/02/2012,West Brom,Swansea,1,2,A,33.325,31.59,35.084
24,04/02/2012,Wigan,Everton,1,1,D,25.213,28.324,46.463
24,05/02/2012,Chelsea,Man United,3,3,D,24.273,29.038,46.688
24,05/02/2012,Newcastle,Aston Villa,2,1,H,61.55,23.418,15.032
24,06/02/2012,Liverpool,Tottenham,0,0,D,42.946,29.254,27.8
25,11/02/2012,Blackburn,QPR,3,2,H,40.311,31.438,28.251
25,11/02/2012,Bolton,Wigan,1,2,A,61.491,26.123,12.386
25,11/02/2012,Everton,Chelsea,2,0,H,28.689,27.664,43.647
25,11/02/2012,Fulham,Stoke,2,1,H,52.034,28.076,19.89
25,11/02/2012,Man United,Liverpool,2,1,H,70.942,21.04,8.018
25,11/02/2012,Sunderland,Arsenal,1,2,A,49.609,27.513,22.878
25,11/02/2012,Swansea,Norwich,2,3,A,53.402,26.803,19.795
25,11/02/2012,Tottenham,Newcastle,5,0,H,68.966,21.729,9.305
25,12/02/2012,Aston Villa,Man City,0,1,A,10.3,17.984,71.716
25,12/02/2012,Wolves,West Brom,1,5,A,35.347,30.636,34.017
26,25/02/2012,Chelsea,Bolton,3,0,H,65.521,22.332,12.146
26,25/02/2012,Man City,Blackburn,3,0,H,88.031,10.863,1.107
26,25/02/2012,Newcastle,Wolves,2,2,D,77.467,16.251,6.282
26,25/02/2012,QPR,Fulham,0,1,A,49.396,29.056,21.548
26,25/02/2012,West Brom,Sunderland,4,0,H,35.69,29.152,35.158
26,25/02/2012,Wigan,Aston Villa,0,0,D,39.208,32.278,28.513
26,26/02/2012,Arsenal,Tottenham,5,2,H,26.452,28.597,44.952
26,26/02/2012,Norwich,Man United,1,2,A,26.995,30.233,42.773
